modified	156	57	server/src/main/java/com/genymobile/scrcpy/video/CameraCapture.java
added	42	0	server/src/main/java/com/genymobile/scrcpy/video/CaptureControl.java
removed	0	37	server/src/main/java/com/genymobile/scrcpy/video/CaptureReset.java
modified	140	37	server/src/main/java/com/genymobile/scrcpy/video/NewDisplayCapture.java
modified	41	33	server/src/main/java/com/genymobile/scrcpy/video/ScreenCapture.java
modified	18	29	server/src/main/java/com/genymobile/scrcpy/video/SurfaceCapture.java
modified	76	22	server/src/main/java/com/genymobile/scrcpy/video/SurfaceEncoder.java
modified	1	1	server/src/main/java/com/genymobile/scrcpy/video/VideoCodec.java
added	86	0	server/src/main/java/com/genymobile/scrcpy/video/VideoConstraints.java
modified	2	2	server/src/main/java/com/genymobile/scrcpy/video/VideoFilter.java
modified	2	2	server/src/main/java/com/genymobile/scrcpy/wrappers/DisplayManager.java
modified	32	0	server/src/main/java/com/genymobile/scrcpy/wrappers/PowerManager.java
modified	70	0	server/src/test/java/com/genymobile/scrcpy/control/ControlMessageReaderTest.java
renamed	1	1	server/src/test/java/com/genymobile/scrcpy/model/CodecOptionsTest.java
added	75	0	server/src/test/java/com/genymobile/scrcpy/model/SizeTest.java
modified	1	1	server/src/test/java/com/genymobile/scrcpy/util/CommandParserTest.java
